product_id,product_name,brand,category,cocoa_percent,weight_g,full_product_name
P0001,White Chocolate 80%,Mars,Truffle,80,120,Mars White Chocolate 80% (Truffle) - 120g
P0002,Dark Chocolate 70%,Cadbury,Praline,70,100,Cadbury Dark Chocolate 70% (Praline) - 100g
P0003,Truffle Chocolate 70%,Hershey,Praline,70,120,Hershey Truffle Chocolate 70% (Praline) - 120g
P0004,Milk Chocolate 50%,Mars,Praline,50,80,Mars Milk Chocolate 50% (Praline) - 80g
P0005,White Chocolate 70%,Ferrero,White,70,50,Ferrero White Chocolate 70% (White) - 50g
P0006,Milk Chocolate 50%,Hershey,Dark,50,50,Hershey Milk Chocolate 50% (Dark) - 50g
P0007,Praline Chocolate 70%,Cadbury,Praline,70,120,Cadbury Praline Chocolate 70% (Praline) - 120g
P0008,White Chocolate 90%,Godiva,Dark,90,100,Godiva White Chocolate 90% (Dark) - 100g
P0009,White Chocolate 50%,Ferrero,Dark,50,80,Ferrero White Chocolate 50% (Dark) - 80g
P0010,Milk Chocolate 70%,Hershey,Truffle,70,50,Hershey Milk Chocolate 70% (Truffle) - 50g
P0011,Praline Chocolate 90%,Ferrero,Truffle,90,80,Ferrero Praline Chocolate 90% (Truffle) - 80g
P0012,Truffle Chocolate 80%,Mars,Praline,80,200,Mars Truffle Chocolate 80% (Praline) - 200g
P0013,White Chocolate 70%,Godiva,Truffle,70,120,Godiva White Chocolate 70% (Truffle) - 120g
P0014,White Chocolate 60%,Mars,Praline,60,100,Mars White Chocolate 60% (Praline) - 100g
P0015,Dark Chocolate 50%,Ferrero,Praline,50,50,Ferrero Dark Chocolate 50% (Praline) - 50g
P0016,Dark Chocolate 90%,Mars,White,90,50,Mars Dark Chocolate 90% (White) - 50g
P0017,White Chocolate 50%,Hershey,Milk,50,120,Hershey White Chocolate 50% (Milk) - 120g
P0018,Dark Chocolate 70%,Ferrero,Dark,70,50,Ferrero Dark Chocolate 70% (Dark) - 50g
P0019,Dark Chocolate 70%,Mars,White,70,50,Mars Dark Chocolate 70% (White) - 50g
P0020,Truffle Chocolate 70%,Godiva,Dark,70,200,Godiva Truffle Chocolate 70% (Dark) - 200g
P0021,Dark Chocolate 50%,Cadbury,White,50,50,Cadbury Dark Chocolate 50% (White) - 50g
P0022,Praline Chocolate 50%,Hershey,Dark,50,200,Hershey Praline Chocolate 50% (Dark) - 200g
P0023,Dark Chocolate 70%,Cadbury,Praline,70,100,Cadbury Dark Chocolate 70% (Praline) - 100g
P0024,Milk Chocolate 70%,Cadbury,White,70,100,Cadbury Milk Chocolate 70% (White) - 100g
P0025,Praline Chocolate 90%,Lindt,Truffle,90,120,Lindt Praline Chocolate 90% (Truffle) - 120g
P0026,Dark Chocolate 90%,Godiva,Praline,90,120,Godiva Dark Chocolate 90% (Praline) - 120g
P0027,White Chocolate 60%,Mars,White,60,200,Mars White Chocolate 60% (White) - 200g
P0028,Dark Chocolate 50%,Lindt,Dark,50,200,Lindt Dark Chocolate 50% (Dark) - 200g
P0029,Milk Chocolate 60%,Lindt,Milk,60,100,Lindt Milk Chocolate 60% (Milk) - 100g
P0030,Praline Chocolate 90%,Lindt,Praline,90,120,Lindt Praline Chocolate 90% (Praline) - 120g
